product_shortname,signal_name,value,year,month,day,hour,minutes,seconds
OMAEROG,SingleScatteringAlbedoMW_nwave_0,956.6014913433785,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoMW_nwave_1,960.4008102279585,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoMW_nwave_2,964.3673104536939,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoMW_nwave_3,965.2654707791432,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoMW_nwave_4,966.0962917569129,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.4679420912895,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_1,958.6753192342022,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_2,963.2410246907862,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_3,964.2255152539375,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_4,965.1145099003588,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.4679420912895,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_1,958.6753192342022,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_2,963.2410246907862,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_3,964.2255152539375,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_4,965.1145099003588,2020,01,20,06,25,30
OMAEROG,SingleScatteringAlbedoMW_nwave_0,952.0158724793324,2020,01,30,05,17,45
OMAEROG,SingleScatteringAlbedoMW_nwave_1,956.823327168512,2020,01,30,05,17,45
OMAEROG,SingleScatteringAlbedoMW_nwave_2,961.9214185652141,2020,01,30,05,17,45
OMAEROG,SingleScatteringAlbedoMW_nwave_3,963.1314068260198,2020,01,30,05,17,45
OMAEROG,SingleScatteringAlbedoMW_nwave_4,964.2613562284814,2020,01,30,05,17,45
OMAEROG,SingleScatteringAlbedoMW_nwave_0,961.3570489956824,2020,02,10,06,21,35
OMAEROG,SingleScatteringAlbedoMW_nwave_1,965.0354430032005,2020,02,10,06,21,35
OMAEROG,SingleScatteringAlbedoMW_nwave_2,968.9098500841151,2020,02,10,06,21,35
OMAEROG,SingleScatteringAlbedoMW_nwave_3,969.7306373135519,2020,02,10,06,21,35
OMAEROG,SingleScatteringAlbedoMW_nwave_4,970.6057131868484,2020,02,10,06,21,35
OMAEROG,SingleScatteringAlbedoMW_nwave_0,958.6323813602966,2020,02,20,06,39,48
OMAEROG,SingleScatteringAlbedoMW_nwave_1,962.8467818008454,2020,02,20,06,39,48
OMAEROG,SingleScatteringAlbedoMW_nwave_2,967.4126042343162,2020,02,20,06,39,48
OMAEROG,SingleScatteringAlbedoMW_nwave_3,968.4707328941654,2020,02,20,06,39,48
OMAEROG,SingleScatteringAlbedoMW_nwave_4,969.3850774274803,2020,02,20,06,39,48
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.9089210386206,2020,02,29,06,20,26
OMAEROG,SingleScatteringAlbedoMW_nwave_1,959.9608520702789,2020,02,29,06,20,26
OMAEROG,SingleScatteringAlbedoMW_nwave_2,965.512001960355,2020,02,29,06,20,26
OMAEROG,SingleScatteringAlbedoMW_nwave_3,966.819243700574,2020,02,29,06,20,26
OMAEROG,SingleScatteringAlbedoMW_nwave_4,967.9559732972929,2020,02,29,06,20,26
OMAEROG,SingleScatteringAlbedoMW_nwave_0,950.6713681583585,2020,03,10,06,34,47
OMAEROG,SingleScatteringAlbedoMW_nwave_1,956.8671654617577,2020,03,10,06,34,47
OMAEROG,SingleScatteringAlbedoMW_nwave_2,963.6946246547457,2020,03,10,06,34,47
OMAEROG,SingleScatteringAlbedoMW_nwave_3,965.2815239026435,2020,03,10,06,34,47
OMAEROG,SingleScatteringAlbedoMW_nwave_4,966.8387865781718,2020,03,10,06,34,47
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.1903142107526,2020,03,20,16,16,06
OMAEROG,SingleScatteringAlbedoMW_nwave_1,959.4129723670414,2020,03,20,16,16,06
OMAEROG,SingleScatteringAlbedoMW_nwave_2,965.044759351965,2020,03,20,16,16,06
OMAEROG,SingleScatteringAlbedoMW_nwave_3,966.3748519856314,2020,03,20,16,16,06
OMAEROG,SingleScatteringAlbedoMW_nwave_4,967.6750578605838,2020,03,20,16,16,06
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.5089537110035,2020,03,30,13,55,04
OMAEROG,SingleScatteringAlbedoMW_nwave_1,959.767894623678,2020,03,30,13,55,04
OMAEROG,SingleScatteringAlbedoMW_nwave_2,965.5155852947303,2020,03,30,13,55,04
OMAEROG,SingleScatteringAlbedoMW_nwave_3,966.9136061154867,2020,03,30,13,55,04
OMAEROG,SingleScatteringAlbedoMW_nwave_4,968.1449078008375,2020,03,30,13,55,04
OMAEROG,SingleScatteringAlbedoMW_nwave_0,953.3798970179197,2020,04,10,05,29,33
OMAEROG,SingleScatteringAlbedoMW_nwave_1,958.409330197426,2020,04,10,05,29,33
OMAEROG,SingleScatteringAlbedoMW_nwave_2,963.95771313127,2020,04,10,05,29,33
OMAEROG,SingleScatteringAlbedoMW_nwave_3,965.2064439913261,2020,04,10,05,29,33
OMAEROG,SingleScatteringAlbedoMW_nwave_4,966.3454456882147,2020,04,10,05,29,33
OMAEROG,SingleScatteringAlbedoMW_nwave_0,957.4517279669806,2020,04,20,06,21,23
OMAEROG,SingleScatteringAlbedoMW_nwave_1,961.8904922532187,2020,04,20,06,21,23
OMAEROG,SingleScatteringAlbedoMW_nwave_2,966.628215012314,2020,04,20,06,21,23
OMAEROG,SingleScatteringAlbedoMW_nwave_3,967.7416603651291,2020,04,20,06,21,23
OMAEROG,SingleScatteringAlbedoMW_nwave_4,968.8050775991661,2020,04,20,06,21,23
OMAEROG,SingleScatteringAlbedoMW_nwave_0,953.3220939896689,2020,04,30,17,07,31
OMAEROG,SingleScatteringAlbedoMW_nwave_1,958.6352719009395,2020,04,30,17,07,31
OMAEROG,SingleScatteringAlbedoMW_nwave_2,964.4063598173713,2020,04,30,17,07,31
OMAEROG,SingleScatteringAlbedoMW_nwave_3,965.7395860467135,2020,04,30,17,07,31
OMAEROG,SingleScatteringAlbedoMW_nwave_4,967.065700188316,2020,04,30,17,07,31
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.590012468968,2020,05,10,05,17,57
OMAEROG,SingleScatteringAlbedoMW_nwave_1,959.2086417811528,2020,05,10,05,17,57
OMAEROG,SingleScatteringAlbedoMW_nwave_2,964.0478553072594,2020,05,10,05,17,57
OMAEROG,SingleScatteringAlbedoMW_nwave_3,965.193572128117,2020,05,10,05,17,57
OMAEROG,SingleScatteringAlbedoMW_nwave_4,966.2516232307347,2020,05,10,05,17,57
OMAEROG,SingleScatteringAlbedoMW_nwave_0,954.1625456148645,2020,05,20,06,16,57
OMAEROG,SingleScatteringAlbedoMW_nwave_1,958.6632494250003,2020,05,20,06,16,57
OMAEROG,SingleScatteringAlbedoMW_nwave_2,963.3649246880789,2020,05,20,06,16,57
OMAEROG,SingleScatteringAlbedoMW_nwave_3,964.3995921134647,2020,05,20,06,16,57
OMAEROG,SingleScatteringAlbedoMW_nwave_4,965.4567513013917,2020,05,20,06,16,57
OMAEROG,SingleScatteringAlbedoMW_nwave_0,951.1990255354731,2020,05,30,07,26,00
OMAEROG,SingleScatteringAlbedoMW_nwave_1,956.498121298207,2020,05,30,07,26,00
OMAEROG,SingleScatteringAlbedoMW_nwave_2,962.0903523632516,2020,05,30,07,26,00
OMAEROG,SingleScatteringAlbedoMW_nwave_3,963.3425074762171,2020,05,30,07,26,00
OMAEROG,SingleScatteringAlbedoMW_nwave_4,964.6456711905834,2020,05,30,07,26,00
OMAEROG,SingleScatteringAlbedoPassedThresholdMean_nwave_0,951.6228868152891,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoPassedThresholdMean_nwave_1,955.3519697028853,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoPassedThresholdMean_nwave_2,958.5419291095468,2020,01,02,06,20,17
OMAEROG,SingleScatteringAlbedoPassedThresholdMean_nwave_3,959.4126305047492,2020,01,02,06,20,17
